43.69849,69.83233
43.78425,69.24966
43.83903,69.85966
43.89843,69.47166
43.96775,69.08755
44.04546,68.70722
44.12335,68.32688
44.19128,66.94199
44.24002,66.55177
44.28855,66.16077
44.40106,65.80811
44.61789,65.58211
44.87681,65.51144
45.12604,65.63333
45.23715,65.74088
45.46041,65.95544
45.66718,66.20366
45.76442,66.57188
45.79117,66.76677
45.83103,68.16088
45.82924,68.55799
45.79184,68.95011
45.75433,69.14144
45.67927,69.52411
45.64183,69.715
45.56644,69.09855
45.51711,69.28322
45.35313,69.593
45.25884,69.73322
45.06775,70.01133
44.87637,70.28644
44.76836,70.40077
44.51639,70.52177
44.38888,70.57733
44.1322,70.67399
43.99911,70.663
43.74773,70.53966
